| Threshold | Scale factor | Min. neighbors | Precision | Recall |
| 0.15 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.15 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.15 | 1.10 | 2.00 | 0.68 | 0.49 |
| 0.15 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.15 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.15 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.15 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.15 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.15 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.15 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.15 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.15 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.15 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.15 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.15 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.15 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.15 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.15 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.15 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.15 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.15 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.16 | 1.05 | 1.00 | 0.53 | 0.62 |
| 0.16 | 1.05 | 2.00 | 0.58 | 0.57 |
| 0.16 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.16 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.16 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.16 | 1.10 | 2.00 | 0.68 | 0.49 |
| 0.16 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.16 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.16 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.16 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.16 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.16 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.16 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.16 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.16 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.16 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.16 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.16 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.16 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.16 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.16 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.16 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.16 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.16 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.17 | 1.05 | 1.00 | 0.53 | 0.62 |
| 0.17 | 1.05 | 2.00 | 0.58 | 0.57 |
| 0.17 | 1.05 | 3.00 | 0.62 | 0.52 |
| 0.17 | 1.05 | 4.00 | 0.66 | 0.50 |
| 0.17 | 1.10 | 1.00 | 0.66 | 0.50 |
| 0.17 | 1.10 | 2.00 | 0.68 | 0.48 |
| 0.17 | 1.10 | 3.00 | 0.70 | 0.47 |
| 0.17 | 1.10 | 4.00 | 0.72 | 0.45 |
| 0.17 | 1.15 | 1.00 | 0.72 | 0.45 |
| 0.17 | 1.15 | 2.00 | 0.73 | 0.44 |
| 0.17 | 1.15 | 3.00 | 0.74 | 0.43 |
| 0.17 | 1.15 | 4.00 | 0.75 | 0.41 |
| 0.17 | 1.20 | 1.00 | 0.75 | 0.41 |
| 0.17 | 1.20 | 2.00 | 0.76 | 0.41 |
| 0.17 | 1.20 | 3.00 | 0.76 | 0.39 |
| 0.17 | 1.20 | 4.00 | 0.77 | 0.38 |
| 0.17 | 1.25 | 1.00 | 0.77 | 0.38 |
| 0.17 | 1.25 | 2.00 | 0.78 | 0.38 |
| 0.17 | 1.25 | 3.00 | 0.79 | 0.37 |
| 0.17 | 1.25 | 4.00 | 0.79 | 0.36 |
| 0.17 | 1.30 | 1.00 | 0.79 | 0.36 |
| 0.17 | 1.30 | 2.00 | 0.80 | 0.35 |
| 0.17 | 1.30 | 3.00 | 0.80 | 0.34 |
| 0.17 | 1.30 | 4.00 | 0.80 | 0.34 |
| 0.18 | 1.05 | 1.00 | 0.53 | 0.62 |
